STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%,STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%, POINTS SCORED ,#14 L. BENZEL ,#11 J. DAPAA ,#22 J. MASTELLONE ,#5 K. MAXWELL ,#10 J. MCLEMORE ,#31 S. MILLER ,#1 A. MOORE ,#4 D. ALLEN ,#15 L. LAWS ,#13 M. MCCONNELL ,All Field Goal Attempts,"1,637",100.0%,"1,395",0.852,"1,637",38.0%,42.0%,0.0%,1.5%,1.5%,38.0%,"1,196",41.1%,441,29.5%
STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%,STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%, POINTS SCORED ,#14 L. BENZEL ,#11 J. DAPAA ,#22 J. MASTELLONE ,#5 K. MAXWELL ,#10 J. MCLEMORE ,#31 S. MILLER ,#1 A. MOORE ,#4 D. ALLEN ,#15 L. LAWS ,#13 M. MCCONNELL ,All Field Goal Attempts,"1,637",100.0%,"1,395",0.852,"1,637",38.0%,42.0%,0.0%,1.5%,1.5%,38.0%,"1,196",41.1%,441,29.5%
#14Lili Benzel,291,17.8%,214,0.735,291,27.1%,36.6%,0.0%,0.3%,0.3%,27.1%,83,28.9%,208,26.4%
#11Jada Dapaa,266,16.2%,232,0.872,266,42.9%,43.0%,0.0%,1.1%,1.1%,42.9%,261,43.3%,5,20.0%
#22Jenna Mastellone,251,15.3%,258,1.028,251,45.4%,49.2%,0.0%,4.4%,4.4%,45.4%,201,47.3%,50,38.0%
#5Kaitlyn Maxwell,235,14.4%,236,1.004,235,43.0%,50.2%,0.0%,0.4%,0.4%,43.0%,148,45.3%,87,39.1%
#10Jordan Mclemore,196,12.0%,151,0.770,196,34.2%,38.3%,0.0%,0.5%,0.5%,34.2%,141,36.2%,55,29.1%
#31Sam Miller,190,11.6%,171,0.900,190,44.7%,44.7%,0.0%,0.5%,0.5%,44.7%,188,45.2%,2,0.0%
#1Aaliyah Moore,88,5.4%,73,0.830,88,39.8%,39.8%,0.0%,4.5%,4.5%,39.8%,88,39.8%,0,-
#4Diajha Allen,51,3.1%,12,0.235,51,11.8%,11.8%,0.0%,0.0%,0.0%,11.8%,38,15.8%,13,0.0%
#15Layla Laws,27,1.6%,18,0.667,27,33.3%,33.3%,0.0%,0.0%,0.0%,33.3%,25,36.0%,2,0.0%
#13Maria McConnell,21,1.3%,16,0.762,21,28.6%,35.7%,0.0%,9.5%,9.5%,28.6%,8,37.5%,13,23.1%
Jump Shot,852,52.0%,643,0.755,839,29.2%,36.9%,0.0%,1.9%,1.9%,30.3%,398,28.9%,441,29.5%
#14Lili Benzel,268,31.5%,199,0.743,265,26.4%,36.8%,0.0%,1.1%,1.1%,27.2%,57,26.3%,208,26.4%
#11Jada Dapaa,73,8.6%,41,0.562,72,26.4%,27.1%,0.0%,1.4%,1.4%,27.4%,67,26.9%,5,20.0%
#22Jenna Mastellone,120,14.1%,116,0.967,115,37.4%,45.7%,0.0%,6.7%,6.7%,40.0%,65,36.9%,50,38.0%
#5Kaitlyn Maxwell,151,17.7%,152,1.007,150,38.7%,50.0%,0.0%,0.7%,0.7%,39.1%,63,38.1%,87,39.1%
#10Jordan Mclemore,130,15.3%,96,0.738,127,29.9%,36.2%,0.0%,2.3%,2.3%,31.5%,72,30.6%,55,29.1%
#31Sam Miller,29,3.4%,12,0.414,29,20.7%,20.7%,0.0%,0.0%,0.0%,20.7%,27,22.2%,2,0.0%
#1Aaliyah Moore,21,2.5%,6,0.286,21,14.3%,14.3%,0.0%,0.0%,0.0%,14.3%,21,14.3%,0,-
#4Diajha Allen,27,3.2%,4,0.148,27,7.4%,7.4%,0.0%,0.0%,0.0%,7.4%,14,14.3%,13,0.0%
#13Maria McConnell,16,1.9%,9,0.563,16,18.8%,28.1%,0.0%,0.0%,0.0%,18.8%,3,0.0%,13,23.1%
Runner,91,5.6%,48,0.527,86,24.4%,24.4%,0.0%,6.6%,6.6%,27.5%,86,24.4%,0,-
#11Jada Dapaa,15,16.5%,9,0.600,13,23.1%,23.1%,0.0%,13.3%,13.3%,33.3%,13,23.1%,0,-
#22Jenna Mastellone,12,13.2%,4,0.333,12,16.7%,16.7%,0.0%,0.0%,0.0%,16.7%,12,16.7%,0,-
#5Kaitlyn Maxwell,30,33.0%,21,0.700,28,32.1%,32.1%,0.0%,10.0%,10.0%,36.7%,28,32.1%,0,-
#10Jordan Mclemore,17,18.7%,10,0.588,16,31.3%,31.3%,0.0%,5.9%,5.9%,29.4%,16,31.3%,0,-
Hook,60,3.7%,45,0.750,56,33.9%,33.9%,0.0%,6.7%,6.7%,38.3%,56,33.9%,0,-
#11Jada Dapaa,11,18.3%,6,0.545,10,20.0%,20.0%,0.0%,9.1%,9.1%,27.3%,10,20.0%,0,-
#31Sam Miller,38,63.3%,32,0.842,37,40.5%,40.5%,0.0%,2.6%,2.6%,42.1%,37,40.5%,0,-
At Rim,711,43.4%,780,1.097,609,51.9%,51.9%,0.1%,17.0%,17.0%,57.1%,609,51.9%,0,-
#14Lili Benzel,22,3.1%,23,1.045,19,42.1%,42.1%,0.0%,18.2%,18.2%,50.0%,19,42.1%,0,-
#11Jada Dapaa,190,26.7%,212,1.116,163,52.1%,52.1%,0.0%,15.8%,15.8%,58.4%,163,52.1%,0,-
#22Jenna Mastellone,142,20.0%,171,1.204,122,54.9%,54.9%,0.0%,19.7%,19.7%,59.9%,122,54.9%,0,-
#5Kaitlyn Maxwell,64,9.0%,78,1.219,57,61.4%,61.4%,1.6%,9.4%,9.4%,64.1%,57,61.4%,0,-
#10Jordan Mclemore,68,9.6%,72,1.059,49,46.9%,46.9%,0.0%,29.4%,29.4%,60.3%,49,46.9%,0,-
#31Sam Miller,100,14.1%,111,1.110,92,54.3%,54.3%,0.0%,9.0%,9.0%,57.0%,92,54.3%,0,-
#1Aaliyah Moore,72,10.1%,73,1.014,58,50.0%,50.0%,0.0%,25.0%,25.0%,55.6%,58,50.0%,0,-
#4Diajha Allen,19,2.7%,8,0.421,18,22.2%,22.2%,0.0%,5.3%,5.3%,21.1%,18,22.2%,0,-
#15Layla Laws,20,2.8%,17,0.850,18,44.4%,44.4%,0.0%,10.0%,10.0%,45.0%,18,44.4%,0,-
,,,,,,,,,,,,,,,
Short to 17,215,25.2%,163,0.758,204,35.3%,35.3%,0.0%,6.5%,6.5%,38.6%,204,35.3%,0,-
Medium 17 to < 3 Pts,196,23.0%,90,0.459,194,22.2%,22.2%,0.0%,1.0%,1.0%,23.0%,194,22.2%,0,-
Long 3 pts,441,51.8%,390,0.884,441,29.5%,44.2%,0.0%,0.0%,0.0%,29.5%,0,-,441,29.5%
,,,,,,,,,,,,,,,
All Field Goal Attempts,214,232,258,236,151,171,73,12,18,16,Jump Shot,199,41,116,152
96,12,6,4,2,9,Catch and Shoot,156,20,57,114,42,8,6,0,0
9,Guarded,82,6,18,45,21,2,6,0,0,3,Unguarded,74,14,39
69,21,6,0,0,0,6,Dribble Jumper,39,19,57,32,54,2,0,4
55,40,28,6,0,0,2,0,Medium 17 to < 3 Pts,18,22,4,10,20,6,6
23,212,171,78,72,107,73,8,17,7,Dunk,0,0,0,0,0
